Month,Calendar Year,Fiscal Year,Month Date,Route,Riders
Dec,2013,FY13-14,12/01/2013 12:00:00 AM,184,9649
Dec,2013,FY13-14,12/01/2013 12:00:00 AM,30,38125
Dec,2013,FY13-14,12/01/2013 12:00:00 AM,40,48819
Dec,2013,FY13-14,12/01/2013 12:00:00 AM,45,40600
Dec,2013,FY13-14,12/01/2013 12:00:00 AM,531,1107
Dec,2013,FY13-14,12/01/2013 12:00:00 AM,533,4246
Dec,2013,FY13-14,12/01/2013 12:00:00 AM,535,2612
Dec,2013,FY13-14,12/01/2013 12:00:00 AM,541,1121
Dec,2013,FY13-14,12/01/2013 12:00:00 AM,61,61808
Dec,2013,FY13-14,12/01/2013 12:00:00 AM,77,4052
Dec,2013,FY13-14,12/01/2013 12:00:00 AM,96,42999
Dec,2013,FY13-14,12/01/2013 12:00:00 AM,AZ Ave Link,21491
Dec,2013,FY13-14,12/01/2013 12:00:00 AM,Buzz,8610
Dec,2013,FY13-14,12/01/2013 12:00:00 AM,Main St Link,26066
Jan,2014,FY13-14,01/01/2014 12:00:00 AM,104,24263
Jan,2014,FY13-14,01/01/2014 12:00:00 AM,108,3606
Jan,2014,FY13-14,01/01/2014 12:00:00 AM,112,35796
Jan,2014,FY13-14,01/01/2014 12:00:00 AM,120,11693
Jan,2014,FY13-14,01/01/2014 12:00:00 AM,128,8965
Jan,2014,FY13-14,01/01/2014 12:00:00 AM,136,13651
Jan,2014,FY13-14,01/01/2014 12:00:00 AM,156,2496
Jan,2014,FY13-14,01/01/2014 12:00:00 AM,184,12692
Jan,2014,FY13-14,01/01/2014 12:00:00 AM,30,43425
Jan,2014,FY13-14,01/01/2014 12:00:00 AM,40,49727
Jan,2014,FY13-14,01/01/2014 12:00:00 AM,45,46303
Jan,2014,FY13-14,01/01/2014 12:00:00 AM,531,1372
Jan,2014,FY13-14,01/01/2014 12:00:00 AM,533,5292
Jan,2014,FY13-14,01/01/2014 12:00:00 AM,535,2908
Jan,2014,FY13-14,01/01/2014 12:00:00 AM,541,1257
Jan,2014,FY13-14,01/01/2014 12:00:00 AM,61,70656
Jan,2014,FY13-14,01/01/2014 12:00:00 AM,77,5807
Jan,2014,FY13-14,01/01/2014 12:00:00 AM,96,49419
Jan,2014,FY13-14,01/01/2014 12:00:00 AM,AZ Ave Link,23192
Jan,2014,FY13-14,01/01/2014 12:00:00 AM,Buzz,7999
Jan,2014,FY13-14,01/01/2014 12:00:00 AM,Main St Link,29297
Feb,2014,FY13-14,02/01/2014 12:00:00 AM,104,18505
Feb,2014,FY13-14,02/01/2014 12:00:00 AM,108,4534
Feb,2014,FY13-14,02/01/2014 12:00:00 AM,112,35198
Feb,2014,FY13-14,02/01/2014 12:00:00 AM,120,12231
Feb,2014,FY13-14,02/01/2014 12:00:00 AM,128,7975
Feb,2014,FY13-14,02/01/2014 12:00:00 AM,136,13715
Feb,2014,FY13-14,02/01/2014 12:00:00 AM,156,2522
Feb,2014,FY13-14,02/01/2014 12:00:00 AM,184,11627
Feb,2014,FY13-14,02/01/2014 12:00:00 AM,30,41121
Feb,2014,FY13-14,02/01/2014 12:00:00 AM,40,46963
Feb,2014,FY13-14,02/01/2014 12:00:00 AM,45,36795
Feb,2014,FY13-14,02/01/2014 12:00:00 AM,531,1050
Feb,2014,FY13-14,02/01/2014 12:00:00 AM,533,4981
Feb,2014,FY13-14,02/01/2014 12:00:00 AM,535,2777
Feb,2014,FY13-14,02/01/2014 12:00:00 AM,541,1089
Feb,2014,FY13-14,02/01/2014 12:00:00 AM,61,75328
Feb,2014,FY13-14,02/01/2014 12:00:00 AM,77,4097
Feb,2014,FY13-14,02/01/2014 12:00:00 AM,96,49893
Feb,2014,FY13-14,02/01/2014 12:00:00 AM,AZ Ave Link,23076
Feb,2014,FY13-14,02/01/2014 12:00:00 AM,Buzz,8265
Feb,2014,FY13-14,02/01/2014 12:00:00 AM,Main St Link,29225
Mar,2014,FY13-14,03/01/2014 12:00:00 AM,104,19719
Mar,2014,FY13-14,03/01/2014 12:00:00 AM,108,4273
Mar,2014,FY13-14,03/01/2014 12:00:00 AM,112,37309
Mar,2014,FY13-14,03/01/2014 12:00:00 AM,120,11949
Mar,2014,FY13-14,03/01/2014 12:00:00 AM,128,9511
Mar,2014,FY13-14,03/01/2014 12:00:00 AM,136,13872
Mar,2014,FY13-14,03/01/2014 12:00:00 AM,156,2732
Mar,2014,FY13-14,03/01/2014 12:00:00 AM,184,12231
Mar,2014,FY13-14,03/01/2014 12:00:00 AM,30,43752
Mar,2014,FY13-14,03/01/2014 12:00:00 AM,40,50021
Mar,2014,FY13-14,03/01/2014 12:00:00 AM,45,39859
Mar,2014,FY13-14,03/01/2014 12:00:00 AM,531,1128
Mar,2014,FY13-14,03/01/2014 12:00:00 AM,533,5065
Mar,2014,FY13-14,03/01/2014 12:00:00 AM,535,2929
Mar,2014,FY13-14,03/01/2014 12:00:00 AM,541,1318
Mar,2014,FY13-14,03/01/2014 12:00:00 AM,61,78551
Mar,2014,FY13-14,03/01/2014 12:00:00 AM,77,4387
Mar,2014,FY13-14,03/01/2014 12:00:00 AM,96,51183
Mar,2014,FY13-14,03/01/2014 12:00:00 AM,AZ Ave Link,21634
Mar,2014,FY13-14,03/01/2014 12:00:00 AM,Buzz,8512
Mar,2014,FY13-14,03/01/2014 12:00:00 AM,Main St Link,30786
Apr,2014,FY13-14,04/01/2014 12:00:00 AM,104,18881
Apr,2014,FY13-14,04/01/2014 12:00:00 AM,108,3969
Apr,2014,FY13-14,04/01/2014 12:00:00 AM,112,39647
Apr,2014,FY13-14,04/01/2014 12:00:00 AM,120,11899
Apr,2014,FY13-14,04/01/2014 12:00:00 AM,128,9784
Apr,2014,FY13-14,04/01/2014 12:00:00 AM,136,15214
Apr,2014,FY13-14,04/01/2014 12:00:00 AM,156,2696
Apr,2014,FY13-14,04/01/2014 12:00:00 AM,184,12397
Apr,2014,FY13-14,04/01/2014 12:00:00 AM,30,44727
Apr,2014,FY13-14,04/01/2014 12:00:00 AM,40,49087
Apr,2014,FY13-14,04/01/2014 12:00:00 AM,45,37743
Apr,2014,FY13-14,04/01/2014 12:00:00 AM,531,1160
Apr,2014,FY13-14,04/01/2014 12:00:00 AM,533,5130
Apr,2014,FY13-14,04/01/2014 12:00:00 AM,535,3220
Apr,2014,FY13-14,04/01/2014 12:00:00 AM,541,1200
Apr,2014,FY13-14,04/01/2014 12:00:00 AM,61,77810
Apr,2014,FY13-14,04/01/2014 12:00:00 AM,77,4340
Apr,2014,FY13-14,04/01/2014 12:00:00 AM,96,48459
Apr,2014,FY13-14,04/01/2014 12:00:00 AM,AZ Ave Link,22479
Apr,2014,FY13-14,04/01/2014 12:00:00 AM,Buzz,8640
Apr,2014,FY13-14,04/01/2014 12:00:00 AM,Main St Link,30628
